ID,Year_Birth,Education,Age,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,totalAmount,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,campaignAccept,discretizatingAge,discretizatingIncome
5524,1957,Graduation,66,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,1617,3,8,10,4,7,0,0,0,0,0,0,1,Accepted once or more,Older Adults,$34948.5 - $67793.5
2174,1954,Graduation,69,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,27,2,1,1,2,5,0,0,0,0,0,0,0,Never Accepted,Older Adults,$34948.5 - $67793.5
4141,1965,Graduation,58,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,776,1,8,2,10,4,0,0,0,0,0,0,0,Never Accepted,Late middle-aged adults,> $67793.5
6182,1984,Graduation,39,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,53,2,2,0,4,6,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$0 - $34948.5
5324,1981,PhD,42,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,422,5,5,3,6,5,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$34948.5 - $67793.5
7446,1967,Master,56,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,716,2,6,4,10,6,0,0,0,0,0,0,0,Never Accepted,Late middle-aged adults,$34948.5 - $67793.5
965,1971,Graduation,52,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,590,4,7,3,7,6,0,0,0,0,0,0,0,Never Accepted,Late middle-aged adults,$34948.5 - $67793.5
6177,1985,PhD,38,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,169,2,4,0,4,8,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$0 - $34948.5
4855,1974,PhD,49,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,46,1,3,0,2,9,0,0,0,0,0,0,1,Accepted once or more,Early middle-aged adults,$0 - $34948.5
5899,1950,PhD,73,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,49,1,1,0,0,20,1,0,0,0,0,0,0,Accepted once or more,Older Adults,$0 - $34948.5
387,1976,Basic,47,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,61,1,2,0,3,8,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$0 - $34948.5
2125,1959,Graduation,64,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1102,1,3,4,8,2,0,0,0,0,0,0,0,Never Accepted,Late middle-aged adults,$34948.5 - $67793.5
8180,1952,Master,71,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,310,3,6,1,5,6,0,0,0,0,0,0,0,Never Accepted,Older Adults,$34948.5 - $67793.5
2569,1987,Graduation,36,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,46,1,1,0,3,8,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$0 - $34948.5
2114,1946,PhD,77,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1315,1,7,6,12,3,0,0,1,1,0,0,1,Accepted once or more,Older Adults,> $67793.5
9736,1980,Graduation,43,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,96,3,3,0,3,8,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$34948.5 - $67793.5
4939,1946,Graduation,77,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,317,2,4,1,6,7,0,0,0,0,0,0,0,Never Accepted,Older Adults,$34948.5 - $67793.5
6565,1949,Master,74,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,1782,2,11,4,9,5,0,0,0,1,0,0,0,Accepted once or more,Older Adults,> $67793.5
2278,1985,Master,38,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,133,2,2,1,3,6,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$0 - $34948.5
9360,1982,Graduation,41,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,316,1,4,2,5,8,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$34948.5 - $67793.5
5376,1979,Graduation,44,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,1730,15,0,28,0,1,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$0 - $34948.5
1993,1949,PhD,74,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,972,3,2,3,9,8,0,1,0,0,0,0,0,Accepted once or more,Older Adults,$34948.5 - $67793.5
4047,1954,PhD,69,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,544,3,6,2,9,4,0,0,0,0,0,0,0,Never Accepted,Older Adults,$34948.5 - $67793.5
1409,1951,Graduation,72,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,444,7,7,1,5,8,0,0,0,0,0,0,0,Never Accepted,Older Adults,$34948.5 - $67793.5
7892,1969,Graduation,54,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,75,2,2,1,3,7,0,0,0,0,0,0,0,Never Accepted,Late middle-aged adults,$0 - $34948.5
2404,1976,Graduation,47,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,257,4,5,1,4,7,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$34948.5 - $67793.5
9422,1989,Graduation,34,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,131,2,2,1,4,3,0,0,0,0,0,0,0,Never Accepted,Among young,$34948.5 - $67793.5
1966,1965,PhD,58,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1672,1,6,9,10,2,0,0,1,0,0,0,0,Accepted once or more,Late middle-aged adults,> $67793.5
6864,1989,Master,34,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,30,2,3,0,3,5,0,0,0,0,0,0,0,Never Accepted,Among young,$0 - $34948.5
3033,1963,Master,60,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,318,1,2,5,3,3,0,0,0,0,0,0,0,Never Accepted,Late middle-aged adults,$34948.5 - $67793.5
5710,1970,Graduation,53,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,120,2,2,1,4,5,0,1,0,0,0,0,0,Accepted once or more,Late middle-aged adults,$34948.5 - $67793.5
7373,1952,PhD,71,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,302,6,4,1,6,6,0,0,0,0,0,0,1,Accepted once or more,Older Adults,$34948.5 - $67793.5
8755,1946,Master,77,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1196,1,3,5,9,7,0,0,0,0,0,0,0,Never Accepted,Older Adults,> $67793.5
10738,1951,Master,72,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,65,1,2,0,3,7,0,0,0,0,0,0,0,Never Accepted,Older Adults,$34948.5 - $67793.5
4339,1970,PhD,53,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,913,5,5,6,12,2,0,0,0,0,0,0,0,Never Accepted,Late middle-aged adults,$34948.5 - $67793.5
10755,1976,Master,47,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,81,3,3,1,2,7,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$0 - $34948.5
8595,1973,Graduation,50,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,67,2,1,1,3,5,0,0,0,0,0,0,0,Never Accepted,Late middle-aged adults,$34948.5 - $67793.5
2968,1943,PhD,80,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,902,2,7,10,5,6,1,0,0,0,0,0,1,Accepted once or more,Older Adults,$34948.5 - $67793.5
8601,1980,Graduation,43,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,1395,2,8,6,5,4,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,> $67793.5
503,1985,Master,38,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,53,2,2,0,3,8,0,0,0,0,0,0,0,Never Accepted,Early middle-aged adults,$0 - $34948.5
8430,1957,Graduation,66,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,22,1,0,0,3,5,0,0,0,0,0,0,0,Never Accepted,Older Adults,$0 - $34948.5
